"valor","tipo","data-expedição","data-envio","fk-func"
"374891585-59","CPF","2012-04-02","2021-03-24","1"
"6283149-8","RG","2016-02-01","2021-03-20","1"
"967563298771","Titulo","2012-08-23","2021-04-03","1"
"343244422-35","CPF","2009-04-04","2021-04-15","2"
"1572532-7","RG","2019-04-27","2021-02-15","2"
"624385777576","Titulo","2016-05-12","2021-01-01","2"
"534642364-72","CPF","2011-12-17","2021-05-01","3"
"8822646-4","RG","2008-01-02","2021-04-06","3"
"255645958864","Titulo","2007-05-10","2021-04-25","3"
"319725964-64","CPF","2009-12-04","2021-01-27","4"
"4922276-8","RG","2015-10-08","2021-03-31","4"
"568795341283","Titulo","2008-10-29","2021-01-10","4"
"378543246-35","CPF","2008-06-27","2021-03-03","5"
"4644573-4","RG","2009-04-02","2021-03-18","5"
"287664586837","Titulo","2009-03-29","2021-03-14","5"
"536883496-85","CPF","2011-07-06","2021-03-22","6"
"2639654-8","RG","2010-10-29","2021-02-05","6"
"225336174488","Titulo","2009-07-09","2021-04-28","6"
"761455786-45","CPF","2005-12-08","2021-02-01","7"
"4382756-2","RG","2015-02-16","2021-02-08","7"
"749973363572","Titulo","2011-06-21","2021-02-27","7"
"888695644-15","CPF","2018-12-08","2021-01-01","8"
"2277952-6","RG","2017-02-19","2021-01-17","8"
"431423163228","Titulo","2017-01-25","2021-04-10","8"
"922771776-52","CPF","2005-02-18","2021-02-25","9"
"5457147-8","RG","2008-10-21","2021-02-13","9"
"883272191486","Titulo","2009-07-31","2021-04-01","9"
"845766942-53","CPF","2012-10-13","2021-02-15","10"
"9436295-2","RG","2014-12-13","2021-05-01","10"
"644823834731","Titulo","2011-07-04","2021-02-28","10"
"448559733-96","CPF","2017-03-04","2021-02-15","11"
"7582323-9","RG","2009-09-28","2021-03-30","11"
"723322992864","Titulo","2012-03-13","2021-03-28","11"
"246483533-94","CPF","2012-08-27","2021-01-04","12"
"5664863-4","RG","2007-07-27","2021-04-16","12"
"964936252236","Titulo","2016-09-15","2021-01-21","12"
"877246543-13","CPF","2019-03-29","2021-04-10","13"
"7229452-6","RG","2009-05-02","2021-01-29","13"
"737284765613","Titulo","2016-04-11","2021-01-27","13"
"837822648-92","CPF","2012-05-10","2021-03-27","14"
"2931674-4","RG","2009-08-05","2021-01-10","14"
"425594528472","Titulo","2012-04-11","2021-04-04","14"
"283431568-19","CPF","2009-11-05","2021-04-25","15"
"7581748-5","RG","2009-05-24","2021-04-08","15"
"283792874436","Titulo","2019-03-17","2021-03-06","15"
"665511873-66","CPF","2011-04-29","2021-04-10","16"
"5858649-7","RG","2011-08-12","2021-01-03","16"
"658884823696","Titulo","2013-06-04","2021-01-08","16"
"922854813-63","CPF","2010-02-04","2021-01-22","17"
"7284462-1","RG","2020-11-20","2021-03-13","17"
"787918874143","Titulo","2018-08-10","2021-02-14","17"
"378572397-84","CPF","2014-07-02","2021-04-08","18"
"8426723-6","RG","2017-01-17","2021-04-22","18"
"567881548727","Titulo","2008-10-06","2021-01-10","18"
"826215234-67","CPF","2008-03-26","2021-02-26","19"
"5778895-5","RG","2007-09-25","2021-02-28","19"
"316523622448","Titulo","2009-02-28","2021-01-03","19"
"846542465-67","CPF","2012-10-15","2021-02-16","20"
"1192477-8","RG","2014-09-22","2021-04-03","20"
"867148682479","Titulo","2010-02-27","2021-01-01","20"
"921645727-93","CPF","2008-12-28","2021-01-20","21"
"2555813-5","RG","2008-10-12","2021-03-12","21"
"562246688672","Titulo","2009-01-05","2021-02-10","21"
"467381675-31","CPF","2009-07-13","2021-04-22","22"
"8535742-3","RG","2010-10-14","2021-02-01","22"
"542139557617","Titulo","2010-10-24","2021-04-18","22"
"723265736-97","CPF","2006-03-20","2021-02-25","23"
"1471757-6","RG","2014-02-25","2021-03-27","23"
"632976253813","Titulo","2007-01-30","2021-02-09","23"
"797549228-41","CPF","2015-05-12","2021-02-27","24"
"6322552-2","RG","2017-03-11","2021-03-06","24"
"861786286279","Titulo","2011-09-25","2021-02-06","24"
"336765771-41","CPF","2017-10-07","2021-04-23","25"
"5866578-8","RG","2006-02-22","2021-01-01","25"
"186496544714","Titulo","2018-09-15","2021-03-27","25"
"645278376-92","CPF","2013-06-01","2021-04-17","26"
"8195442-2","RG","2011-06-27","2021-02-11","26"
"435291496144","Titulo","2013-02-17","2021-02-24","26"
"628652757-18","CPF","2009-04-24","2021-02-04","27"
"6914457-8","RG","2015-01-13","2021-04-21","27"
"722342364686","Titulo","2011-04-07","2021-03-28","27"
"236288573-25","CPF","2012-05-24","2021-02-11","28"
"2517565-3","RG","2012-05-18","2021-04-07","28"
"647465353552","Titulo","2014-12-12","2021-03-08","28"
"254587553-24","CPF","2005-03-18","2021-04-16","29"
"9788553-6","RG","2008-11-23","2021-02-05","29"
"772342752957","Titulo","2018-08-01","2021-04-18","29"
"766314442-44","CPF","2017-02-23","2021-02-03","30"
"2175722-2","RG","2016-10-26","2021-04-03","30"
"963377378569","Titulo","2020-03-18","2021-03-22","30"
"285433493-63","CPF","2008-02-01","2021-03-29","31"
"4218626-5","RG","2018-02-11","2021-03-27","31"
"677435384293","Titulo","2011-06-29","2021-03-18","31"
"642867854-28","CPF","2013-03-02","2021-01-26","32"
"4353227-3","RG","2007-05-24","2021-04-29","32"
"446835742613","Titulo","2015-11-12","2021-04-16","32"
"724776255-71","CPF","2008-02-15","2021-04-18","33"
"2948857-5","RG","2020-10-26","2021-01-08","33"
"275493528473","Titulo","2020-02-21","2021-02-12","33"
"528915385-13","CPF","2010-03-16","2021-03-13","34"
"3127932-4","RG","2014-12-31","2021-02-23","34"
"736137856128","Titulo","2006-04-28","2021-01-30","34"
"963612726-82","CPF","2020-07-25","2021-01-04","35"
"7568576-3","RG","2011-04-11","2021-01-25","35"
"867637545853","Titulo","2018-07-27","2021-02-15","35"
"377861558-75","CPF","2006-03-05","2021-01-17","36"
"6234837-2","RG","2017-06-19","2021-02-01","36"
"517484945516","Titulo","2013-03-14","2021-02-09","36"
"665277853-54","CPF","2008-12-26","2021-03-21","37"
"9365611-2","RG","2005-05-26","2021-01-12","37"
"538356284332","Titulo","2014-05-15","2021-01-19","37"
"242466849-16","CPF","2012-06-01","2021-02-13","38"
"8283381-3","RG","2020-11-20","2021-03-24","38"
"445765133315","Titulo","2008-11-27","2021-04-03","38"
"592978622-76","CPF","2009-12-31","2021-04-05","39"
"4864852-5","RG","2020-09-29","2021-04-23","39"
"483774468652","Titulo","2014-10-21","2021-01-06","39"
"577255367-72","CPF","2014-03-15","2021-04-08","40"
"3782977-3","RG","2005-06-01","2021-04-16","40"
"825572745759","Titulo","2018-07-14","2021-04-12","40"
"728891746-81","CPF","2005-03-09","2021-05-02","41"
"7479365-9","RG","2020-10-21","2021-02-25","41"
"375644659834","Titulo","2011-09-20","2021-01-03","41"
"443717471-14","CPF","2015-04-20","2021-01-27","42"
"8784434-3","RG","2019-11-27","2021-02-28","42"
"174563146992","Titulo","2012-12-22","2021-02-18","42"
"446349738-35","CPF","2007-09-03","2021-01-15","43"
"8283174-1","RG","2016-12-08","2021-01-04","43"
"435622276644","Titulo","2010-07-31","2021-04-07","43"
"866426273-62","CPF","2009-01-31","2021-04-11","44"
"7182655-7","RG","2012-07-08","2021-05-01","44"
"946443111758","Titulo","2014-04-22","2021-01-23","44"
"687546882-32","CPF","2017-10-02","2021-01-14","45"
"8795978-4","RG","2006-08-06","2021-02-03","45"
"744152827813","Titulo","2015-04-10","2021-04-06","45"
"484436517-36","CPF","2013-05-11","2021-03-19","46"
"6335944-1","RG","2013-05-30","2021-03-14","46"
"795238889653","Titulo","2016-05-29","2021-01-11","46"
"588726963-22","CPF","2018-12-22","2021-02-14","47"
"9559284-5","RG","2010-01-08","2021-01-11","47"
"736439518863","Titulo","2017-12-13","2021-04-27","47"
"829512187-84","CPF","2020-08-03","2021-04-11","48"
"7695845-8","RG","2015-12-07","2021-01-03","48"
"254984786626","Titulo","2009-05-13","2021-02-25","48"
"336523762-29","CPF","2010-11-22","2021-03-24","49"
"8316844-6","RG","2020-05-03","2021-03-14","49"
"528366196853","Titulo","2014-07-23","2021-04-08","49"
"755656194-28","CPF","2013-08-23","2021-04-18","50"
"1877858-3","RG","2005-06-08","2021-02-08","50"
"649745475163","Titulo","2016-12-13","2021-02-06","50"
"885266946-96","CPF","2016-01-25","2021-01-11","51"
"8534856-3","RG","2018-01-27","2021-01-31","51"
"438428482431","Titulo","2017-07-21","2021-01-25","51"
"446593795-48","CPF","2006-10-19","2021-03-07","52"
"5328556-7","RG","2015-03-23","2021-03-16","52"
"166662268275","Titulo","2020-10-29","2021-03-02","52"
"545259541-11","CPF","2007-07-30","2021-02-27","53"
"7375316-2","RG","2018-05-20","2021-01-17","53"
"683273355475","Titulo","2007-06-27","2021-05-01","53"
"323443186-38","CPF","2012-06-23","2021-03-08","54"
"7624937-5","RG","2007-04-06","2021-01-26","54"
"624563528228","Titulo","2009-10-23","2021-04-02","54"
"452225565-11","CPF","2008-07-20","2021-04-14","55"
"3669373-4","RG","2005-01-21","2021-05-02","55"
"593236647666","Titulo","2008-07-26","2021-01-13","55"
"769974247-88","CPF","2018-01-18","2021-01-25","56"
"1562928-2","RG","2015-08-09","2021-04-06","56"
"762868214388","Titulo","2007-01-17","2021-04-22","56"
"646754912-77","CPF","2006-09-26","2021-02-26","57"
"6496423-2","RG","2005-06-07","2021-02-07","57"
"794526449672","Titulo","2008-04-04","2021-04-17","57"
"873355371-78","CPF","2019-11-22","2021-03-22","58"
"3381854-8","RG","2007-08-20","2021-02-16","58"
"226557957241","Titulo","2007-06-11","2021-01-13","58"
"346749724-35","CPF","2018-03-04","2021-01-29","59"
"4926769-1","RG","2020-11-02","2021-04-01","59"
"425248148179","Titulo","2015-07-29","2021-01-02","59"
"571873762-68","CPF","2018-08-13","2021-04-06","60"
"6642877-1","RG","2007-10-17","2021-03-15","60"
"276346225226","Titulo","2014-01-09","2021-02-07","60"
"368191248-27","CPF","2018-09-28","2021-02-27","61"
"6459319-3","RG","2015-06-19","2021-01-10","61"
"988473399574","Titulo","2008-10-12","2021-03-17","61"
"419785261-28","CPF","2007-06-14","2021-02-01","62"
"3331899-5","RG","2012-01-02","2021-01-07","62"
"484552526538","Titulo","2008-03-05","2021-02-21","62"
